adrīmo; áram; eirif
akino; ; egin
anamī; anim; anaf
anawo; anae; anaw
aramo; ; araf
argo; arg; 
arto; art; arth
axtīno; aitten; eithin
banowessā; banais; 
bēto; bíad; bwyd
biyatli; biáil; bwell
blātu; bláth; blawd
borro; ; bwrr
bostā; bos; bos
bow; bó; bu
brig; ; bre
brīgo; bríg; bri
bristi; ; brys
brixtu; bricht; -brith
brokko; ; broch
brū; brú;
brugno; brón; brwyn
bruson; brú; bron
budaro; bodar; byddar
damniyo; damnae; defnydd
dīreyo; díre; dirwy
dowyo; dóe; 
drūxtu; drúcht; 
dwīyot; dé; 
exs; ess-; ech
fanssā; és; 
farawsyo; ara; 
fare; air; ar-
ferissā; iress; 
ferko; erc; erch
fētu; íath; 
flikkā; lecc; llech
fotlo; ól; 
frato; rath; 
frēmo; ; rwyf
friyo; ; rydd
fowlwo; ; ulw
gweltā; geilt; gwellt
gato; ; gadu
glasto; glas; glas
gliwo; ; glew
gloysto; glésse; 
gnāto; gnáth;
gnūsti; gnúis; gnis
gritu; grith; 
gulbīno; gulban; gylfin
gustu; guss; 
kwākwo; cách; pawb
kwenkwekont; cóica; pymmwnt
kallī; ; celli
kani; cain; cein
kato; cath; 
kēro; cíar; 
klamo; clam; claf
klisso; cles; 
klito; ; clyd
klitro; ; cledr
kliyaro; ; claear
knidā; cned; 
komrūno; ; cyfrin
ladano; ladan; 
lēko; líach; 
lesko; lesc; 
lessu; les; lles
lextu; lecht; lleith
lisso; les; llys
loferno; ; llewyrn
losko; losc; 
lustā; ; llost
lutā; loth; 
mati; maith; mad
mero; mer; 
messu; mess; mes
mēto; méth; 
mī; mé; mi
nanī; ; nain
nāwā; nau; noe
nawito; neóit; neued
nemo; neim; 
nemos; nem; nef
obnu; omun; 
olīnā; uilen; elin
omo; om; 
ono; on; 
oxtū; ocht; wyth
rentu; rét; 
sati; saithe; heyd
sferā; ; ffer
skwetlo; scél; chwedl
skāto; scáth; ysgawd
skīto; scíth; escud
slimno; slemon; llyfn
snīs; sní; ni
stlondo; slond; 
sukko; socc; hwch
swekru; ; chwegr
swerwo; ; chwerw
swīs; sí; chwi
tawso; tó; taw
tegu; ; tew
tixtā; techt; teith
tlāti; ; tlawdd
trātu; tráth; trawd
trīkont; trícho; 
tuxtu; tucht; 
ufokliyo; fochla; 
ufolawto; folud; golud
wastu; ; gwas
waydā; fáed; gwaedd
waylino; faílenn; 
wextā; fecht; gweith
winto; fet; gwynt
wissu; fius; gwys
wītyo; fíthe; 
wiwero; íaru; 
woxtlo; focull; gwaethl
wrastā; frass; 
yalo; ; ial
yālo; áil; iawl
yowdo; ; ud
