adrīmo; áram; eirif
ago; agid; a
akino; ; egin
anamī; anim; anaf
anawo; anae; anaw
aramo; ; araf
argo; arg; 
arto; art; arth
atilino; ad-len; edlynu
axto; aitten; aeth
banowessā; banais; 
barna; ; barnu
bego; do-beig; 
bēto; bíad; bwyd
bina; benaid;; kymynu
biyatli; biáil; bwell
blātu; bláth; blawd
borro; ; bwrr
bostā; bos; bos
bow; bó; bu
bowdro; ; budyr
brig; ; bre
bristi; ; brys
brixtu; bricht; -brith
brokko; ; broch
brugno; brón; brwyn
bruson; brú; bron
budaro; bodar; byddar
buyo; biid; 
dā; -tartat; 
damniyo; damnae; defnydd
dīko; ; dic
dina; denaid; dynu
dīreyo; díre; dirwy
dowyo; dóe; 
dringo; dringid; dringo
drūxtu; drúcht; 
dwīyot; dé; 
exs; ess-; ech
fanssā; és; 
farawsyo; ara; 
fare; air; ar-
ferissā; iress; 
ferko; erc; erch
fētu; íath; 
flikkā; lecc; llech
fotlo; ól; 
frato; rath; rat
frēmo; ; rwyf
friyo; ; ryd
fowlwo; ; ulw
gweltā; geilt; gwellt
ganyo; gainidir; geni;
gato; ; gadu
glasto; glas; glas
gliwo; ; glew
gloydo; ; glud
gloysto; glésse; 
gnāto; gnáth; gnawt
gnūsti; gnúis; gnis
gowstā; gúas; 
gritu; grith; gryt
gustu; guss; 
kwākwo; cách; pawb
kwenkwekont; cóica; pymmwnt
kallī; caill; celli
kani; cain; cein
kartā; cartaid; 
kato; cath; 
kēro; cíar; 
klamo; clam; claf
klisso; cles; 
klito; ; clyd
klitro; clithar; cledr
kliyaro; ; claear
knidā; cned; 
komrūno; ; cyfrin
krid; ; cryddu
ladano; ladan; 
lamyo; ro-laimethar; llafasu
lēko; líach; 
lesko; lesc; 
lessu; les; lles
lextu; lecht; lleith
lisso; les; llys
loferno; ; llewyrn
losko; losc; 
lustā; ; llost
lutā; loth; 
mako; do-formaig; magu
marna; marnaid; 
mati; maith; mad
medo; midithir; meddu
mero; mer; meredig
messu; mess; mes
meto; ; medi
mēto; méth; 
mī; mé; mi
nanī; ; nain
nāwā; nau; noe
nawito; neóit; neued
nemo; neim; 
nemos; nem; nef
nowslo; nuall; 
obnu; omun; ofuyn
olīnā; uilen; elin
omo; om; 
ono; on; 
oxtū; ocht; wyth
razdo; ; rathu
rēdo; réidid; 
rendi; rind; 
rentu; rét; 
rinno; ; rin
rowtro; ; ruthyr
sādī; sáidid; gwahawd
sati; saithe; heyd
sekwo; ; hebu
sferā; ; ffer
skwetlo; scél; chwedl
skāto; scáth; ysgawd
skīto; scíth; escud
skoltā; ; hollt
sligo; sligid; 
slimno; slemonslemun; llyfn
slunko; slucaid; llyncu
snīs; sní; ni
stlondo; slond; 
sukko; socc; hwch
swanna; seinnid; 
swekru; ; chwegr
swerwo; serb; chwerw
swīs; sí; chwi
tawso; tó; taw
tegu; ; tew
tixtā; techt; teith
tlāti; ; tlawdd
trātu; tráth; trawd
trīkont; trícho; 
tuxtu; tucht; 
ufokliyo; fochla; 
ufolawto; folud; golud
wastu; ; gwas
waydā; fáed; gwaedd
waylino; faílenn; 
wextā; fecht; gweith
winto; fet; gwynt
wissu; fius; gwys
wītyo; fíthe; 
wiwero; íaru; 
woxtlo; focull; gwaethl
wrastā; frass; 
yalo; ; ial
yālo; áil; iawl
yowdo; ; ud
